Zeitstempel,Wert
2017-01-02 13:15:00,948375
2017-01-02 13:30:00,942284
2017-01-02 13:45:00,908945
2017-01-02 14:00:00,936047
2017-01-02 14:15:00,888652
2017-01-02 14:30:00,934123
2017-01-02 14:45:00,897052
2017-01-02 15:00:00,931501
2017-01-02 15:15:00,874576
2017-01-02 15:30:00,880145
2017-01-02 15:45:00,899754
2017-01-02 16:00:00,922361
2017-01-02 16:15:00,864873
2017-01-02 16:30:00,930413
2017-01-02 16:45:00,948902
2017-01-02 17:00:00,872443
2017-01-02 17:15:00,901706
2017-01-02 17:30:00,857255
2017-01-02 17:45:00,938533
2017-01-02 18:00:00,899386
2017-01-02 18:15:00,900569
2017-01-02 18:30:00,855843
2017-01-02 18:45:00,867942
2017-01-02 19:00:00,903383
2017-01-02 19:15:00,906817
2017-01-02 19:30:00,873117
2017-01-02 19:45:00,883606
2017-01-02 20:00:00,875811
2017-01-02 20:15:00,909141
2017-01-02 20:30:00,885856
2017-01-02 20:45:00,919563
2017-01-02 21:00:00,939473
2017-01-02 21:15:00,927204
2017-01-02 21:30:00,911510
2017-01-02 21:45:00,869348
2017-01-02 22:00:00,911600
2017-01-02 22:15:00,865403
2017-01-02 22:30:00,904298
2017-01-02 22:45:00,850211
2017-01-02 23:00:00,943688
2017-01-02 23:15:00,939894
2017-01-02 23:30:00,904115
2017-01-02 23:45:00,890365
2017-01-03 00:00:00,872427
2017-01-03 00:15:00,917880
2017-01-03 00:30:00,878920
2017-01-03 00:45:00,915863
2017-01-03 01:00:00,909947
2017-01-03 01:15:00,866435
2017-01-03 01:30:00,938219
2017-01-03 01:45:00,922954
2017-01-03 02:00:00,945995
2017-01-03 02:15:00,858494
2017-01-03 02:30:00,888170
2017-01-03 02:45:00,870368
2017-01-03 03:00:00,936999
2017-01-03 03:15:00,900332
2017-01-03 03:30:00,895571
2017-01-03 03:45:00,915321
2017-01-03 04:00:00,912547
2017-01-03 04:15:00,850422
2017-01-03 04:30:00,913448
2017-01-03 04:45:00,913774
2017-01-03 05:00:00,887872
2017-01-03 05:15:00,875641
2017-01-03 05:30:00,905728
2017-01-03 05:45:00,852677
2017-01-03 06:00:00,917861
2017-01-03 06:15:00,941052
2017-01-03 06:30:00,898758
2017-01-03 06:45:00,941552
2017-01-03 07:00:00,932821
2017-01-03 07:15:00,890169
2017-01-03 07:30:00,854430
2017-01-03 07:45:00,888966
2017-01-03 08:00:00,852674
2017-01-03 08:15:00,900021
2017-01-03 08:30:00,899586
2017-01-03 08:45:00,902006
2017-01-03 09:00:00,904817
2017-01-03 09:15:00,880057
2017-01-03 09:30:00,945579
2017-01-03 09:45:00,904898
2017-01-03 10:00:00,877853
2017-01-03 10:15:00,850249
2017-01-03 10:30:00,886969
2017-01-03 10:45:00,854265
2017-01-03 11:00:00,877243
2017-01-03 11:15:00,895140
2017-01-03 11:30:00,902401
2017-01-03 11:45:00,920692
2017-01-03 12:00:00,916143
2017-01-03 12:15:00,879068
2017-01-03 12:30:00,940771
2017-01-03 12:45:00,944247
2017-01-03 13:00:00,918183
2017-01-03 13:15:00,933553
2017-01-03 13:30:00,876720
2017-01-03 13:45:00,945580
2017-01-03 14:00:00,896189
2017-01-03 14:15:00,917934
2017-01-03 14:30:00,929022
2017-01-03 14:45:00,852794
2017-01-03 15:00:00,865101
2017-01-03 15:15:00,919207
2017-01-03 15:30:00,889494
2017-01-03 15:45:00,888951
2017-01-03 16:00:00,868336
2017-01-03 16:15:00,869109
2017-01-03 16:30:00,867464
2017-01-03 16:45:00,907606
2017-01-03 17:00:00,861685
2017-01-03 17:15:00,881919
2017-01-03 17:30:00,883270
2017-01-03 17:45:00,904591
2017-01-03 18:00:00,877876
2017-01-03 18:15:00,943835
2017-01-03 18:30:00,870429
2017-01-03 18:45:00,870327
2017-01-03 19:00:00,928656
2017-01-03 19:15:00,909676
2017-01-03 19:30:00,882041
2017-01-03 19:45:00,933257
2017-01-03 20:00:00,906877
2017-01-03 20:15:00,928226
2017-01-03 20:30:00,867829
2017-01-03 20:45:00,929998
2017-01-03 21:00:00,857110
2017-01-03 21:15:00,896102
2017-01-03 21:30:00,919648
2017-01-03 21:45:00,893723
2017-01-03 22:00:00,881704
2017-01-03 22:15:00,916172
2017-01-03 22:30:00,870808
2017-01-03 22:45:00,914079
2017-01-03 23:00:00,914518
2017-01-03 23:15:00,886322
2017-01-03 23:30:00,887948
2017-01-03 23:45:00,921509
2017-01-04 00:00:00,937446
2017-01-04 00:15:00,879056
2017-01-04 00:30:00,949102
2017-01-04 00:45:00,879584
2017-01-04 01:00:00,913707
2017-01-04 01:15:00,879369
2017-01-04 01:30:00,949973
2017-01-04 01:45:00,945164
2017-01-04 02:00:00,851738
2017-01-04 02:15:00,891658
2017-01-04 02:30:00,883008
2017-01-04 02:45:00,856044
2017-01-04 03:00:00,886231
2017-01-04 03:15:00,908971
2017-01-04 03:30:00,866293
2017-01-04 03:45:00,861599
2017-01-04 04:00:00,932368
2017-01-04 04:15:00,864347
2017-01-04 04:30:00,907308
2017-01-04 04:45:00,929276
2017-01-04 05:00:00,944305
2017-01-04 05:15:00,876101
2017-01-04 05:30:00,886066
2017-01-04 05:45:00,861004
2017-01-04 06:00:00,853201
2017-01-04 06:15:00,914312
2017-01-04 06:30:00,901426
2017-01-04 06:45:00,929239
2017-01-04 07:00:00,919141
2017-01-04 07:15:00,924290
2017-01-04 07:30:00,926407
2017-01-04 07:45:00,945510
2017-01-04 08:00:00,911479
2017-01-04 08:15:00,935220
2017-01-04 08:30:00,906151
2017-01-04 08:45:00,932417
2017-01-04 09:00:00,923740
2017-01-04 09:15:00,918099
2017-01-04 09:30:00,864365
2017-01-04 09:45:00,900473
2017-01-04 10:00:00,914928
2017-01-04 10:15:00,920881
2017-01-04 10:30:00,922822
2017-01-04 10:45:00,887318
2017-01-04 11:00:00,929681
2017-01-04 11:15:00,915430
2017-01-04 11:30:00,870853
2017-01-04 11:45:00,858286
2017-01-04 12:00:00,882235
2017-01-04 12:15:00,863271
2017-01-04 12:30:00,904748
2017-01-04 12:45:00,923267
2017-01-04 13:00:00,864132
2017-01-04 13:15:00,949237
2017-01-04 13:30:00,874934
2017-01-04 13:45:00,912293
2017-01-04 14:00:00,919181
2017-01-04 14:15:00,910673
2017-01-04 14:30:00,855768
2017-01-04 14:45:00,914991
2017-01-04 15:00:00,908633
2017-01-04 15:15:00,856870
2017-01-04 15:30:00,855801
2017-01-04 15:45:00,914623
2017-01-04 16:00:00,935801
2017-01-04 16:15:00,871190
2017-01-04 16:30:00,857336
2017-01-04 16:45:00,870814
2017-01-04 17:00:00,887785
2017-01-04 17:15:00,903723
2017-01-04 17:30:00,868975
2017-01-04 17:45:00,877739
2017-01-04 18:00:00,878335
2017-01-04 18:15:00,856373
2017-01-04 18:30:00,927781
2017-01-04 18:45:00,892346
2017-01-04 19:00:00,913962
2017-01-04 19:15:00,850891
2017-01-04 19:30:00,894802
2017-01-04 19:45:00,895528
2017-01-04 20:00:00,915481
2017-01-04 20:15:00,874334
2017-01-04 20:30:00,928435
2017-01-04 20:45:00,861490
2017-01-04 21:00:00,927432
2017-01-04 21:15:00,883505
2017-01-04 21:30:00,885387
2017-01-04 21:45:00,922008
2017-01-04 22:00:00,942955
2017-01-04 22:15:00,901079
2017-01-04 22:30:00,923230
2017-01-04 22:45:00,877402
2017-01-04 23:00:00,858238
2017-01-04 23:15:00,919594
2017-01-04 23:30:00,922830
2017-01-04 23:45:00,860091
2017-01-05 00:00:00,895343
2017-01-05 00:15:00,852138
2017-01-05 00:30:00,883208
2017-01-05 00:45:00,878357
2017-01-05 01:00:00,852106
2017-01-05 01:15:00,944955
2017-01-05 01:30:00,904358
2017-01-05 01:45:00,931765
2017-01-05 02:00:00,864146
2017-01-05 02:15:00,914215
2017-01-05 02:30:00,904342
2017-01-05 02:45:00,934608
2017-01-05 03:00:00,867123
2017-01-05 03:15:00,911409
2017-01-05 03:30:00,915112
2017-01-05 03:45:00,926204
2017-01-05 04:00:00,878150
2017-01-05 04:15:00,886225
2017-01-05 04:30:00,872394
2017-01-05 04:45:00,920065
2017-01-05 05:00:00,946279
2017-01-05 05:15:00,924064
2017-01-05 05:30:00,858122
2017-01-05 05:45:00,949364
2017-01-05 06:00:00,901479
2017-01-05 06:15:00,918234
2017-01-05 06:30:00,884508
2017-01-05 06:45:00,945604
2017-01-05 07:00:00,907349
2017-01-05 07:15:00,911031
2017-01-05 07:30:00,866244
2017-01-05 07:45:00,873295
2017-01-05 08:00:00,892157
2017-01-05 08:15:00,910391
2017-01-05 08:30:00,871054
2017-01-05 08:45:00,906376
2017-01-05 09:00:00,939545
2017-01-05 09:15:00,889569
2017-01-05 09:30:00,860950
2017-01-05 09:45:00,861254
2017-01-05 10:00:00,854559
2017-01-05 10:15:00,910900
2017-01-05 10:30:00,908878
2017-01-05 10:45:00,920299
2017-01-05 11:00:00,868871
2017-01-05 11:15:00,912443
2017-01-05 11:30:00,896328
2017-01-05 11:45:00,869765
2017-01-05 12:00:00,883411
2017-01-05 12:15:00,942603
2017-01-05 12:30:00,925623
2017-01-05 12:45:00,888245
2017-01-05 13:00:00,928225
2017-01-05 13:15:00,869641
2017-01-05 13:30:00,887113
2017-01-05 13:45:00,920721
2017-01-05 14:00:00,914345
2017-01-05 14:15:00,907317
2017-01-05 14:30:00,935234
2017-01-05 14:45:00,930699
2017-01-05 15:00:00,937778
2017-01-05 15:15:00,868345
2017-01-05 15:30:00,894043
2017-01-05 15:45:00,884745
2017-01-05 16:00:00,927441
2017-01-05 16:15:00,913203
2017-01-05 16:30:00,906272
2017-01-05 16:45:00,885444
2017-01-05 17:00:00,920078
2017-01-05 17:15:00,897736
2017-01-05 17:30:00,852643
2017-01-05 17:45:00,878176
2017-01-05 18:00:00,887566
2017-01-05 18:15:00,918622
2017-01-05 18:30:00,901840
2017-01-05 18:45:00,934125
2017-01-05 19:00:00,874587
2017-01-05 19:15:00,920579
2017-01-05 19:30:00,866284
2017-01-05 19:45:00,906114
2017-01-05 20:00:00,932249
2017-01-05 20:15:00,863858
2017-01-05 20:30:00,910807
2017-01-05 20:45:00,946182
2017-01-05 21:00:00,884961
2017-01-05 21:15:00,939701
2017-01-05 21:30:00,875537
2017-01-05 21:45:00,935345
2017-01-05 22:00:00,943471
2017-01-05 22:15:00,923308
2017-01-05 22:30:00,900497
2017-01-05 22:45:00,910477
2017-01-05 23:00:00,936761
2017-01-05 23:15:00,924267
2017-01-05 23:30:00,940353
2017-01-05 23:45:00,881421
2017-01-06 00:00:00,946184
2017-01-06 00:15:00,922790
2017-01-06 00:30:00,888726
2017-01-06 00:45:00,850432
2017-01-06 01:00:00,881350
2017-01-06 01:15:00,945304
2017-01-06 01:30:00,898812
2017-01-06 01:45:00,942375
2017-01-06 02:00:00,906724
2017-01-06 02:15:00,914734
2017-01-06 02:30:00,863914
2017-01-06 02:45:00,901484
2017-01-06 03:00:00,892220
2017-01-06 03:15:00,883791
2017-01-06 03:30:00,889129
2017-01-06 03:45:00,937397
2017-01-06 04:00:00,902873
2017-01-06 04:15:00,942334
2017-01-06 04:30:00,901524
2017-01-06 04:45:00,907282
2017-01-06 05:00:00,907263
2017-01-06 05:15:00,948761
2017-01-06 05:30:00,858413
2017-01-06 05:45:00,886792
2017-01-06 06:00:00,861110
2017-01-06 06:15:00,945395
2017-01-06 06:30:00,874586
2017-01-06 06:45:00,926581
2017-01-06 07:00:00,859124
2017-01-06 07:15:00,914493
2017-01-06 07:30:00,944015
2017-01-06 07:45:00,932822
2017-01-06 08:00:00,911579
2017-01-06 08:15:00,850587
2017-01-06 08:30:00,899544
2017-01-06 08:45:00,907869
2017-01-06 09:00:00,919718
2017-01-06 09:15:00,906733
2017-01-06 09:30:00,920303
2017-01-06 09:45:00,909136
2017-01-06 10:00:00,884389
2017-01-06 10:15:00,933337
2017-01-06 10:30:00,866317
2017-01-06 10:45:00,866973
2017-01-06 11:00:00,912727
2017-01-06 11:15:00,883375
2017-01-06 11:30:00,943918
2017-01-06 11:45:00,914476
2017-01-06 12:00:00,931668
2017-01-06 12:15:00,898511
2017-01-06 12:30:00,853348
2017-01-06 12:45:00,919172
2017-01-06 13:00:00,948749
2017-01-06 13:15:00,879438
2017-01-06 13:30:00,929446
2017-01-06 13:45:00,869972
2017-01-06 14:00:00,944835
2017-01-06 14:15:00,948047
2017-01-06 14:30:00,946182
2017-01-06 14:45:00,898589
2017-01-06 15:00:00,860483
2017-01-06 15:15:00,917338
2017-01-06 15:30:00,935830
2017-01-06 15:45:00,927626
2017-01-06 16:00:00,944992
2017-01-06 16:15:00,936105
2017-01-06 16:30:00,911002
2017-01-06 16:45:00,933347
2017-01-06 17:00:00,862763
2017-01-06 17:15:00,941617
2017-01-06 17:30:00,934079
2017-01-06 17:45:00,853893
2017-01-06 18:00:00,877998
2017-01-06 18:15:00,894863
2017-01-06 18:30:00,856049
2017-01-06 18:45:00,853436
2017-01-06 19:00:00,942008
2017-01-06 19:15:00,886841
2017-01-06 19:30:00,949105
2017-01-06 19:45:00,860691
2017-01-06 20:00:00,857376
2017-01-06 20:15:00,876524
2017-01-06 20:30:00,915415
2017-01-06 20:45:00,932238
2017-01-06 21:00:00,897491
2017-01-06 21:15:00,910313
2017-01-06 21:30:00,939504
2017-01-06 21:45:00,899027
2017-01-06 22:00:00,852390
2017-01-06 22:15:00,925992
2017-01-06 22:30:00,899304
2017-01-06 22:45:00,862103
2017-01-06 23:00:00,884216
2017-01-06 23:15:00,926335
2017-01-06 23:30:00,898726
2017-01-06 23:45:00,935681
2017-01-07 00:00:00,865954
2017-01-07 00:15:00,946222
2017-01-07 00:30:00,914791
2017-01-07 00:45:00,943258
2017-01-07 01:00:00,856573
2017-01-07 01:15:00,861756
2017-01-07 01:30:00,931044
2017-01-07 01:45:00,919134
2017-01-07 02:00:00,900350
2017-01-07 02:15:00,925590
2017-01-07 02:30:00,856548
2017-01-07 02:45:00,908636
2017-01-07 03:00:00,885319
2017-01-07 03:15:00,861227
2017-01-07 03:30:00,863683
2017-01-07 03:45:00,919900
2017-01-07 04:00:00,933821
2017-01-07 04:15:00,856823
2017-01-07 04:30:00,857905
2017-01-07 04:45:00,857274
2017-01-07 05:00:00,867841
2017-01-07 05:15:00,887390
2017-01-07 05:30:00,901165
2017-01-07 05:45:00,892603
2017-01-07 06:00:00,881539
2017-01-07 06:15:00,851296
2017-01-07 06:30:00,886785
2017-01-07 06:45:00,919034
2017-01-07 07:00:00,897563
2017-01-07 07:15:00,863498
2017-01-07 07:30:00,871735
2017-01-07 07:45:00,881963
2017-01-07 08:00:00,919149
2017-01-07 08:15:00,948701
2017-01-07 08:30:00,925002
2017-01-07 08:45:00,909135
2017-01-07 09:00:00,875645
2017-01-07 09:15:00,887230
2017-01-07 09:30:00,896060
2017-01-07 09:45:00,895290
2017-01-07 10:00:00,909096
2017-01-07 10:15:00,905278
2017-01-07 10:30:00,886488
2017-01-07 10:45:00,916642
2017-01-07 11:00:00,921466
2017-01-07 11:15:00,859525
2017-01-07 11:30:00,949115
2017-01-07 11:45:00,948114
2017-01-07 12:00:00,896758
2017-01-07 12:15:00,927974
2017-01-07 12:30:00,896402
2017-01-07 12:45:00,861524
2017-01-07 13:00:00,850920
2017-01-07 13:15:00,892207
2017-01-07 13:30:00,908926
2017-01-07 13:45:00,929303
2017-01-07 14:00:00,909515
2017-01-07 14:15:00,885116
2017-01-07 14:30:00,915795
2017-01-07 14:45:00,856844
2017-01-07 15:00:00,902177
2017-01-07 15:15:00,927967
2017-01-07 15:30:00,876037
2017-01-07 15:45:00,872158
2017-01-07 16:00:00,903682
2017-01-07 16:15:00,949366
2017-01-07 16:30:00,870591
2017-01-07 16:45:00,861378
2017-01-07 17:00:00,869221
2017-01-07 17:15:00,870076
2017-01-07 17:30:00,895289
2017-01-07 17:45:00,936845
2017-01-07 18:00:00,859290
2017-01-07 18:15:00,932318
2017-01-07 18:30:00,930651
2017-01-07 18:45:00,878603
2017-01-07 19:00:00,936534
2017-01-07 19:15:00,930278
2017-01-07 19:30:00,854756
2017-01-07 19:45:00,875286
2017-01-07 20:00:00,886122
2017-01-07 20:15:00,862334
2017-01-07 20:30:00,901708
2017-01-07 20:45:00,895493
2017-01-07 21:00:00,943612
2017-01-07 21:15:00,937528
2017-01-07 21:30:00,928236
2017-01-07 21:45:00,949429
2017-01-07 22:00:00,852286
2017-01-07 22:15:00,901310
2017-01-07 22:30:00,893623
2017-01-07 22:45:00,903541
2017-01-07 23:00:00,870258
2017-01-07 23:15:00,873614
2017-01-07 23:30:00,861964
2017-01-07 23:45:00,894985
2017-01-08 00:00:00,888703
2017-01-08 00:15:00,895917
2017-01-08 00:30:00,934394
2017-01-08 00:45:00,864150
2017-01-08 01:00:00,901418
2017-01-08 01:15:00,912033
2017-01-08 01:30:00,880061
2017-01-08 01:45:00,854479
2017-01-08 02:00:00,859103
2017-01-08 02:15:00,917510
2017-01-08 02:30:00,943993
2017-01-08 02:45:00,862788
2017-01-08 03:00:00,886194
2017-01-08 03:15:00,930661
2017-01-08 03:30:00,888590
2017-01-08 03:45:00,915358
2017-01-08 04:00:00,859744
2017-01-08 04:15:00,921006
2017-01-08 04:30:00,944886
2017-01-08 04:45:00,894878
2017-01-08 05:00:00,877697
2017-01-08 05:15:00,885522
2017-01-08 05:30:00,927622
2017-01-08 05:45:00,945152
2017-01-08 06:00:00,931132
2017-01-08 06:15:00,875413
2017-01-08 06:30:00,900966
2017-01-08 06:45:00,937085
2017-01-08 07:00:00,900756
2017-01-08 07:15:00,946812
2017-01-08 07:30:00,854625
2017-01-08 07:45:00,874992
2017-01-08 08:00:00,852839
2017-01-08 08:15:00,895754
2017-01-08 08:30:00,895631
2017-01-08 08:45:00,858114
2017-01-08 09:00:00,886361
2017-01-08 09:15:00,912083
2017-01-08 09:30:00,877784
2017-01-08 09:45:00,912828
2017-01-08 10:00:00,931260
2017-01-08 10:15:00,929778
2017-01-08 10:30:00,875687
2017-01-08 10:45:00,850151
2017-01-08 11:00:00,908086
2017-01-08 11:15:00,897217
2017-01-08 11:30:00,862382
2017-01-08 11:45:00,885113
2017-01-08 12:00:00,909499
2017-01-08 12:15:00,851801
2017-01-08 12:30:00,857257
2017-01-08 12:45:00,871073
2017-01-08 13:00:00,873029
2017-01-08 13:15:00,917206
2017-01-08 13:30:00,865518
2017-01-08 13:45:00,872685
2017-01-08 14:00:00,938783
2017-01-08 14:15:00,944346
2017-01-08 14:30:00,889129
2017-01-08 14:45:00,926673
2017-01-08 15:00:00,859763
2017-01-08 15:15:00,889247
2017-01-08 15:30:00,931287
2017-01-08 15:45:00,889383
2017-01-08 16:00:00,898371
2017-01-08 16:15:00,850750
2017-01-08 16:30:00,859095
2017-01-08 16:45:00,875593
2017-01-08 17:00:00,870601
2017-01-08 17:15:00,928986
2017-01-08 17:30:00,924397
2017-01-08 17:45:00,873825
2017-01-08 18:00:00,908951
2017-01-08 18:15:00,930513
2017-01-08 18:30:00,892310
2017-01-08 18:45:00,907908
2017-01-08 19:00:00,888581
2017-01-08 19:15:00,874958
2017-01-08 19:30:00,931327
2017-01-08 19:45:00,861296
2017-01-08 20:00:00,894690
2017-01-08 20:15:00,862881
2017-01-08 20:30:00,901759
2017-01-08 20:45:00,860564
2017-01-08 21:00:00,930972
2017-01-08 21:15:00,933277
2017-01-08 21:30:00,920931
2017-01-08 21:45:00,898987
2017-01-08 22:00:00,921132
2017-01-08 22:15:00,895385
2017-01-08 22:30:00,894087
2017-01-08 22:45:00,947794
2017-01-08 23:00:00,897998
2017-01-08 23:15:00,867321
2017-01-08 23:30:00,918392
2017-01-08 23:45:00,884994
2017-01-09 00:00:00,902552
2017-01-09 00:15:00,919810
2017-01-09 00:30:00,860006
2017-01-09 00:45:00,901121
2017-01-09 01:00:00,922531
2017-01-09 01:15:00,944597
2017-01-09 01:30:00,884161
2017-01-09 01:45:00,895924
2017-01-09 02:00:00,936951
2017-01-09 02:15:00,887801
2017-01-09 02:30:00,904844
2017-01-09 02:45:00,944306
2017-01-09 03:00:00,857131
2017-01-09 03:15:00,856909
2017-01-09 03:30:00,893484
2017-01-09 03:45:00,871411
2017-01-09 04:00:00,889875
2017-01-09 04:15:00,895081
2017-01-09 04:30:00,937781
2017-01-09 04:45:00,873972
2017-01-09 05:00:00,875120
2017-01-09 05:15:00,859241
2017-01-09 05:30:00,885427
2017-01-09 05:45:00,897128
2017-01-09 06:00:00,941282
2017-01-09 06:15:00,937252
2017-01-09 06:30:00,924618
2017-01-09 06:45:00,870021
2017-01-09 07:00:00,893921
2017-01-09 07:15:00,907442
2017-01-09 07:30:00,908066
2017-01-09 07:45:00,930610
2017-01-09 08:00:00,850298
2017-01-09 08:15:00,938891
2017-01-09 08:30:00,910533
2017-01-09 08:45:00,913390
2017-01-09 09:00:00,925525
2017-01-09 09:15:00,904017
2017-01-09 09:30:00,860760
2017-01-09 09:45:00,871871
2017-01-09 10:00:00,904791
2017-01-09 10:15:00,908134
2017-01-09 10:30:00,901769
2017-01-09 10:45:00,947507
2017-01-09 11:00:00,896959
2017-01-09 11:15:00,902405
2017-01-09 11:30:00,890779
2017-01-09 11:45:00,864525
2017-01-09 12:00:00,923859
2017-01-09 12:15:00,865534
2017-01-09 12:30:00,898746
2017-01-09 12:45:00,920832
2017-01-09 13:00:00,870185
2017-01-09 13:15:00,926666
2017-01-09 13:30:00,879777
2017-01-09 13:45:00,855574
2017-01-09 14:00:00,906009
2017-01-09 14:15:00,915406
2017-01-09 14:30:00,921613
2017-01-09 14:45:00,852271
2017-01-09 15:00:00,924140
2017-01-09 15:15:00,889462
2017-01-09 15:30:00,851224
2017-01-09 15:45:00,928103
2017-01-09 16:00:00,943109
2017-01-09 16:15:00,916468
2017-01-09 16:30:00,854933
2017-01-09 16:45:00,916090
2017-01-09 17:00:00,878361
2017-01-09 17:15:00,888940
2017-01-09 17:30:00,942309
2017-01-09 17:45:00,877230
2017-01-09 18:00:00,906170
2017-01-09 18:15:00,880775
2017-01-09 18:30:00,896592
2017-01-09 18:45:00,904018
2017-01-09 19:00:00,860575
2017-01-09 19:15:00,899388
2017-01-09 19:30:00,938526
2017-01-09 19:45:00,905591
2017-01-09 20:00:00,890335
2017-01-09 20:15:00,871888
2017-01-09 20:30:00,928991
2017-01-09 20:45:00,939474
2017-01-09 21:00:00,902993
2017-01-09 21:15:00,949215
2017-01-09 21:30:00,945246
2017-01-09 21:45:00,886064
2017-01-09 22:00:00,917752
2017-01-09 22:15:00,877072
2017-01-09 22:30:00,917337
2017-01-09 22:45:00,863438
2017-01-09 23:00:00,906210
2017-01-09 23:15:00,873503
2017-01-09 23:30:00,906211
2017-01-09 23:45:00,935160
2017-01-10 00:00:00,887508
2017-01-10 00:15:00,926730
2017-01-10 00:30:00,887573
2017-01-10 00:45:00,897451
2017-01-10 01:00:00,869523
2017-01-10 01:15:00,939442
2017-01-10 01:30:00,949669
2017-01-10 01:45:00,897419
2017-01-10 02:00:00,924213
